Signatur,Incipit,Titel,KomponistIn,Herkunftsort KomponistIn,TexterIn,Herkunftsort TexterIn,InterpretIn,Herkunftsort InterpretIn,Dauer [min:sec],Liedarchiv-Nummer,Alte Signatur Tonband,Seite,Liednr.,Alte Signatur Track,1. Aufnahmeort,2. Herkunftort Komposition,Aufnahmedatum: Anzeige,Kompositionsdatum: Anzeige,Instrumente,Personen/Institutionen,Schlagworte,Kommentar,Objektart,Originalträger,Ist ein Teil von,Sammlung,Copyright,Ähnliche Lieder/Stücke,Erfassungsdatum
SVA_01M_001_a1,,,,,,,Daniel Perret;Roland Ambühl,Schweiz;Zürich;Thalwil;Hinwil,1:50,,L72/1,A,1,L72/1-A1,Schweiz;Aargau;Lenzburg;Rittersaal,UK;Schottland,02.07.1972,,Dudelsack;Trommel,Daniel Perret;Roland Ambühl;Folkfestival auf der Lenzburg,,,Stück (nur Musik),Magnettonband,SVA_01M_001,SVA_01,SGV,,27.05.2020
SVA_01M_001_a2,"Flop eared mule, flop eared mule, floppy floppy",Flop Eared Mule,,,,,The String Band,USA;Minnesota;Minneapolis,3:00,29633,L72/1,A,2,L72/1-A2,Schweiz;Aargau;Lenzburg;Rittersaal,USA,02.07.1972,,Gesang;Gitarre;Geige;Zuberbass,The String Band;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_001,SVA_01,SGV,,27.05.2020
SVA_01M_001_a3,"Dooley was a good old man, he lived below the mill",Dooley,,,,,The String Band,USA;Minnesota;Minneapolis,2:10,29634,L72/1,A,3,L72/1-A3,Schweiz;Aargau;Lenzburg;Rittersaal,USA,02.07.1972,,Gesang;Chor;Geige;Banjo;Gitarre,The String Band;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_001,SVA_01,SGV,,27.05.2020
SVA_01M_001_a4,"I let you be, you salty dog",Salty Dog Blues,Charlie Jackso,USA,Charlie Jackson,USA,The String Band,USA;Minnesota;Minneapolis,2:40,29635,L72/1,A,4,L72/1-A4,Schweiz;Aargau;Lenzburg;Rittersaal,USA,02.07.1972,1924,Gesang;Gitarre;Banjo;Löffel,The String Band;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_001,SVA_01,SGV,,27.05.2020
SVA_01M_001_a5,I ain't got no job an' I don't want any,I Wanna Be Your Man,,,,,The String Band,USA;Minnesota;Minneapolis,3:50,29636,L72/1,A,5,L72/1-A5,Schweiz;Aargau;Lenzburg;Rittersaal,USA;Minnesota;Minneapolis,02.07.1972,,Gesang;Geige;Gitarre;Zuberbass;Kazoo,The String Band;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_001,SVA_01,SGV,,27.05.2020
SVA_01M_001_a6,"Oh, Mama's out yonder switchin' in the kitchen",Euphoria,The Holy Modal Rounders,USA,,,The String Band,USA;Minnesota;Minneapolis,2:35,29637,L72/1,A,6,L72/1-A6,Schweiz;Aargau;Lenzburg;Rittersaal,USA,02.07.1972,,Gesang;Geige;Gitarre;Zuberbass,The String Band;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_001,SVA_01,SGV,,27.05.2020
SVA_01M_001_a7,"Well, they call it the mountain dew",Good Old Mountain Dew,Bascom Lamar Lunsford;Scotty Wiseman,,Scotty Wiseman,,The String Band,USA;Minnesota;Minneapolis,4:40,29638,L72/1,A,7,L72/1-A7,Schweiz;Aargau;Lenzburg;Rittersaal,,02.07.1972,1928,Sprecher;Gesang;Banjo;Gitarre;Zuberbass,The String Band;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_001,SVA_01,SGV,,27.05.2020
SVA_01M_001_a8,,The Scholar,,,,,Troubadix,Schweiz;St. Gallen,1:35,,L72/1,A,8,L72/1-A8,Schweiz;Aargau;Lenzburg;Rittersaal,Irland,02.07.1972,,Fidel;Banjo;Gitarre,Troubadix;Samuel Forrer;Urs Klauser;Peter Maurer;Folkfestival auf der Lenzburg,,,Stück (nur Musik),Magnettonband,SVA_01M_001,SVA_01,SGV,,27.05.2020
SVA_01M_001_a9,"Many-a night, while you lay sleeping ",Pal Of Mine, Alvin Pleasant Carter,USA,Alvin Plaesant Carter,USA,Troubadix,Schweiz;St. Gallen,2:35,29639,L72/1,A,9,L72/1-A9,Schweiz;Aargau;Lenzburg;Rittersaal,USA,02.07.1972,1928,Gesang;Fidel;Banjo;Gitarre,Troubadix;Samuel Forrer;Urs Klauser;Peter Maurer;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_001,SVA_01,SGV,,27.05.2020
SVA_01M_001_a10,"Oh, Mary was a maiden, when the bird began to sing",The River In The Pines (Mary Was A Maiden),,,,,Troubadix,Schweiz;St. Gallen,2:45,29640,L72/1,A,10,L72/1-A10,Schweiz;Aargau;Lenzburg;Rittersaal,USA,02.07.1972,,Gesang;Mandoline;Bassblockflöte,Troubadix;Samuel Forrer;Urs Klauser;Peter Maurer;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_001,SVA_01,SGV,,27.05.2020
SVA_01M_001_a11,"Let the old folks out, young ones too",I'm A Rattlesnakin' Daddy ,Blind Boy Fuller,USA,Blind Boy Fuller,USA,Troubadix,Schweiz;St. Gallen,2:40,,L72/1,A,11,L72/1-A11,Schweiz;Aargau;Lenzburg;Rittersaal,USA,02.07.1972,1935,Gesang;Gitarre;Banjo;Fidel,Troubadix;Samuel Forrer;Urs Klauser;Peter Maurer;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_001,SVA_01,SGV,,27.05.2020
SVA_01M_001_a12,"Maria, Maria",Maria,Aleš,CSSR;Schweiz;Zürich,Aleš,CSSR;Schweiz;Zürich,Aleš,CSSR;Schweiz;Zürich,3:10,29641,L72/1,A,12,L72/1-A12,Schweiz;Aargau;Lenzburg;Rittersaal,,02.07.1972,,Gitarre;Gesang,Aleš;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_001,SVA_01,SGV,,27.05.2020
SVA_01M_001_a13,"Sag mir Teichrose, wie öffnet sich deine Seele",,Aleš,CSSR;Schweiz;Zürich,Aleš,CSSR;Schweiz;Zürich,Aleš;Lubos,CSSR;Schweiz;Zürich,9:10,29642,L72/1,A,13,L72/1-A13,Schweiz;Aargau;Lenzburg;Rittersaal,,02.07.1972,,Gesang;Sitar;Tabla;Fidel;Gitarre;Mundharmonika,Aleš;Lubos;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_001,SVA_01,SGV,,27.05.2020
SVA_01M_001_a14,Walking on a road on a Sunday afternoon,Pronounciation,Aleš,CSSR;Schweiz;Zürich,Aleš,CSSR;Schweiz;Zürich,Aleš;Lubos,CSSR;Schweiz;Zürich,3:25,29643,L72/1,A,14,L72/1-A14,Schweiz;Aargau;Lenzburg;Rittersaal,,02.07.1972,,Gesang;Flöte;Gitarre,Aleš;Lubos;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_001,SVA_01,SGV,,27.05.2020
SVA_01M_001_a15,"Got the worried blues, got no heart to cry",Worried Blues,Frank Hutchison,USA,Frank Hutchison,USA,Richard O'Brien,USA,2:55,29644,L72/1,A,15,L72/1-A15,Schweiz;Aargau;Lenzburg;Rittersaal,USA,02.07.1972,1927,Gesang;Autoharp,Richard O'Brien;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_001,SVA_01,SGV,,27.05.2020
SVA_01M_001_a16,"Once I had a sweetheart, and now I have none",Once I Had A Sweetheart,,,,,Richard O'Brien,USA,2:55,29645,L72/1,A,16,L72/1-A16,Schweiz;Aargau;Lenzburg;Rittersaal,UK;England,02.07.1972,,Gesang;Autoharp,Richard O'Brien;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_001,SVA_01,SGV,,27.05.2020
SVA_01M_001_a17,,,Richard O'Brien,,,,Richard O'Brien,USA,2:50,,L72/1,A,17,L72/1-A17,Schweiz;Aargau;Lenzburg;Rittersaal,,02.07.1972,,Autoharp,Richard O'Brien;Folkfestival auf der Lenzburg,,,Stück (nur Musik),Magnettonband,SVA_01M_001,SVA_01,SGV,,27.05.2020
SVA_01M_001_a18,,,Reverend Gary Davis,USA,,,Guy Drossaert,Zürich;Belgien,2:20,,L72/1,A,18,L72/1-A18,Schweiz;Aargau;Lenzburg;Rittersaal,USA,02.07.1972,,Gitarre,Guy Drossaert;Folkfestival auf der Lenzburg,,,Stück (nur Musik),Magnettonband,SVA_01M_001,SVA_01,SGV,,27.05.2020
SVA_01M_001_a19,,Ball The Jack,Elizabeth Cotton,USA,,,Guy Drossaert,Zürich;Belgien,1:30,,L72/1,A,19,L72/1-A19,Schweiz;Aargau;Lenzburg;Rittersaal,USA,02.07.1972,,Gitarre,Guy Drossaert;Folkfestival auf der Lenzburg,,,Stück (nur Musik),Magnettonband,SVA_01M_001,SVA_01,SGV,,27.05.2020
SVA_01M_001_a20,,,Elizabeth Cotton,USA,,,Guy Drossaert,Zürich;Belgien,1:20,,L72/1,A,20,L72/1-A20,Schweiz;Aargau;Lenzburg;Rittersaal,USA,02.07.1972,,Gitarre,Guy Drossaert;Folkfestival auf der Lenzburg,,,Stück (nur Musik),Magnettonband,SVA_01M_001,SVA_01,SGV,,27.05.2020
SVA_01M_001_a21,,Victory Rag,James Scott,USA,,,Richard O'Brien;Guy Drossaert,USA;Belgien,1:35,,L72/1,A,21,L72/1-A21,Schweiz;Aargau;Lenzburg;Rittersaal,USA,02.07.1972,1921,Autoharp;Kazoo;Gitarre,Richard O'Brien;Guy Drossaert;Folkfestival auf der Lenzburg,,,Stück (nur Musik),Magnettonband,SVA_01M_001,SVA_01,SGV,,27.05.2020
SVA_01M_001_a22,When Annie's lover was a big old man,Annie's Lover,Henry Saint Clair Fredericks,,Henry Saint Clair Fredericks,,Richard O'Brien,USA,3:25,29646,L72/1,A,22,L72/1-A22,Schweiz;Aargau;Lenzburg;Rittersaal,,02.07.1972,,Gesang;Autoharp;Kazoo,Richard O'Brien;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_001,SVA_01,SGV,,27.05.2020
SVA_01M_001_a23,I had a little beetle,Alexander Beetle,Melanie Safka,USA,Melanie Safka,USA,Daniel Schmidt,Schweiz;Bern;Burgdorf,2:30,29647,L72/1,A,23,L72/1-A23,Schweiz;Aargau;Lenzburg;Rittersaal,USA,02.07.1972,,Gesang;Gitarre,Daniel Schmidt;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_001,SVA_01,SGV,,27.05.2020
SVA_01M_001_a24,"All night long, dreaming badly",All Night Long,Tom Paxton,USA,Tom Paxton,USA,Daniel Schmidt,Schweiz;Bern;Burgdorf,2:25,29648,L72/1,A,24,L72/1-A24,Schweiz;Aargau;Lenzburg;Rittersaal,USA,02.07.1972,,Gesang;Gitarre,Daniel Schmidt;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_001,SVA_01,SGV,,27.05.2020
SVA_01M_001_a25,"Well, I'm tired of seeing the picture",The Good Guys,Melanie Safka,USA,Melanie Safka,USA,Daniel Schmidt,Schweiz;Bern;Burgdorf,2:00,29649,L72/1,A,25,L72/1-A25,Schweiz;Aargau;Lenzburg;Rittersaal,USA,02.07.1972,,Gesang;Gitarre,Daniel Schmidt;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_001,SVA_01,SGV,,27.05.2020
SVA_01M_001_a26,I asked my love to take a walk,The Banks Of The Ohio,,,,,Hopfe u Malz,Schweiz;Bern,3:10,29650,L72/1,A,26,L72/1-A26,Schweiz;Aargau;Lenzburg;Rittersaal,USA,02.07.1972,,Gesang;Gitarre,Hopfe u Malz;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_001,SVA_01,SGV,,27.05.2020
SVA_01M_001_a27,Yellow is the colour of my true love's hair,Colours,Donovan Leitch,UK;Schottland,Donovan Leitch,UK;Schottland,Hopfe u Malz,Schweiz;Bern,2:40,29651,L72/1,A,27,L72/1-A27,Schweiz;Aargau;Lenzburg;Rittersaal,UK;Schottland,02.07.1972,,Gesang;Gitarre,Hopfe u Malz;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_001,SVA_01,SGV,,27.05.2020
SVA_01M_001_a28,I lit a thin green candle,One Of Us Cannot Be Wrong,Leonard Cohen,Kanada,Leonard Cohen,Kanada,Hopfe u Malz,Schweiz;Bern,3:55,29652,L72/1,A,28,L72/1-A28,Schweiz;Aargau;Lenzburg;Rittersaal,Kanada,02.07.1972,,Gesang;Gitarre,Hopfe u Malz;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_001,SVA_01,SGV,,27.05.2020
SVA_01M_001_a29,I want you,,Kurt Briefer,Schweiz;Basel-Stadt;Basel,Kurt Briefer,Schweiz;Basel-Stadt;Basel,Kurt Briefer,Schweiz;Basel-Stadt;Basel,3:05,29653,L72/1,A,29,L72/1-A29,Schweiz;Aargau;Lenzburg;Rittersaal,Schweiz;Basel-Stadt;Basel,02.07.1972,,Gesang;Gitarre;Mundharmonika,Kurt Briefer;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_001,SVA_01,SGV,,27.05.2020
SVA_01M_001_a30,I'm longing you can broke my wing,,Kurt Briefer,Schweiz;Basel-Stadt;Basel,Kurt Briefer,Schweiz;Basel-Stadt;Basel,Kurt Briefer,Schweiz;Basel-Stadt;Basel,2:25,29654,L72/1,A,30,L72/1-A30,Schweiz;Aargau;Lenzburg;Rittersaal,Schweiz;Basel-Stadt;Basel,02.07.1972,,Gesang;Gitarre;Mundharmonika,Kurt Briefer;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_001,SVA_01,SGV,,27.05.2020
SVA_01M_001_a31,"I keep you my window, I'm longing, my friend",,Kurt Briefer,Schweiz;Basel-Stadt;Basel,Kurt Briefer,Schweiz;Basel-Stadt;Basel,Kurt Briefer,Schweiz;Basel-Stadt;Basel,4:10,29655,L72/1,A,31,L72/1-A31,Schweiz;Aargau;Lenzburg;Rittersaal,Schweiz;Basel-Stadt;Basel,02.07.1972,,Gesang;Gitarre;Mundharmonika,Kurt Briefer;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_001,SVA_01,SGV,,27.05.2020
SVA_01M_001_a32,"Oxford Town, Oxford Town",Oxford Town,Bob Dylan,USA,Bob Dylan,USA,Kurt Briefer,Schweiz;Basel-Stadt;Basel,1:55,29656,L72/1,A,32,L72/1-A32,Schweiz;Aargau;Lenzburg;Rittersaal,USA,02.07.1972,,Gesang;Gitarre;Mundharmonika,Kurt Briefer;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_001,SVA_01,SGV,,27.05.2020
SVA_01M_001_a33,"Lord, I cried the day when I went blind",It's Hard To Be Blind,Gary Davis,USA,"Gary Davis, Bob Dylan",USA,Kurt Briefer,Schweiz;Basel-Stadt;Basel,2:50,29657,L72/1,A,33,L72/1-A33,Schweiz;Aargau;Lenzburg;Rittersaal,USA,02.07.1972,,Gesang;Gitarre;Mundharmonika,Kurt Briefer;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_001,SVA_01,SGV,,27.05.2020
SVA_01M_001_a34,We're saling down the river from Liverpool,Santianna,,,,,Silvio Ballinari;Ueli Gubler,Schweiz;Bern;Köniz,3:00,29658,L72/1,A,34,L72/1-A34,Schweiz;Aargau;Lenzburg;Rittersaal,USA,02.07.1972,1850,Gesang;Gitarre,Silvio Ballinari;Ueli Gubler;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_001,SVA_01,SGV,,27.05.2020
SVA_01M_001_a35,To synnefo efere vrohi,Ximeroni,,,,,Silvio Ballinari;Ueli Gubler,Schweiz;Bern;Köniz,2:05,29659,L72/1,A,35,L72/1-A35,Schweiz;Aargau;Lenzburg;Rittersaal,Griechenland,02.07.1972,,Gesang;Gitarre,Silvio Ballinari;Ueli Gubler;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_001,SVA_01,SGV,,27.05.2020
SVA_01M_001_a36,Go for ride a car-car,Car Car Song,Woody Guthrie,USA,Woody Guthrie,USA,Silvio Ballinari;Ueli Gubler,Schweiz;Bern;Köniz,2:10,29660,L72/1,A,36,L72/1-A36,Schweiz;Aargau;Lenzburg;Rittersaal,USA,02.07.1972,,Gesang;Gitarre;Kazoo,Silvio Ballinari;Ueli Gubler;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_001,SVA_01,SGV,,27.05.2020
SVA_01M_001_a37,Last night I had the strangest dream,Strangest Dream,Ed McCurdy,USA,Ed McCurdy,,Silvio Ballinari;Ueli Gubler,Schweiz;Bern;Köniz,1:30,29661,L72/1,A,37,L72/1-A37,Schweiz;Aargau;Lenzburg;Rittersaal,USA,02.07.1972,,Gesang;Gitarre,Silvio Ballinari;Ueli Gubler;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_001,SVA_01,SGV,,27.05.2020
SVA_01M_001_a38,"Pease mio, che stai sulla colina",Che sarà,Jimmy Fontana,Italien,"Franco Migliaci, Carlos Pes",Italien,Silvio Ballinari,Schweiz;Bern,3:00,29662,L72/1,A,38,L72/1-A38,Schweiz;Aargau;Lenzburg;Rittersaal,Italien,02.07.1972,1971,Gesang;Gitarre,Silvio Ballinari;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_001,SVA_01,SGV,,27.05.2020
SVA_01M_001_b1,Para bailar La Bamba,La Bamba,,,,,Silvio Ballinari;Ueli Gubler,Schweiz;Bern;Köniz,2:55,29663,L72/1,B,1,L72/1-B1,Schweiz;Aargau;Lenzburg;Rittersaal,Mexiko,02.07.1972,,Gesang;Gitarre,Silvio Ballinari;Ueli Gubler;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_001,SVA_01,SGV,,27.05.2020
SVA_01M_001_b2,I like to swim in my water,Swimmy Swim,Woody Guthrie,USA,Woody Guthrie,USA,Silvio Ballinari;Ueli Gubler,Schweiz;Bern;Köniz,2:35,29664,L72/1,B,2,L72/1-B2,Schweiz;Aargau;Lenzburg;Rittersaal,USA,02.07.1972,,Gesang;Gitarre,Silvio Ballinari;Ueli Gubler;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_001,SVA_01,SGV,,27.05.2020
